row,col,fitted_celltype,Dataset,PCA1,PCA2,UMAP1,UMAP2,UMAP1_cluster,domain_cluster,Tumor_label,niche
cell_1421,47.87923209,35.947701936,Invasive_Tumor,SimSpace,-2.1993191198666,-1.90290508626218,9.46568940842124,6.7451644078083,9,Domain 1,Tumor,1
cell_1422,47.77008919,37.170946253,Invasive_Tumor,SimSpace,-3.34672133053958,-2.10167450847185,10.5517642375228,5.48974515350532,9,Domain 1,Tumor,1
cell_1423,48.21966071,40.23757878,Invasive_Tumor,SimSpace,-4.16087342229697,-2.05248137558965,8.01050065720053,9.3338751927204,2,Domain 1,Tumor,1
cell_1424,47.97243216,44.203205479,Invasive_Tumor,SimSpace,-4.87165249015688,-2.50093122703844,6.05019019806357,12.1585917607136,2,Domain 1,Tumor,1
cell_1425,48.00507712,45.938625408,Invasive_Tumor,SimSpace,-4.78041577916406,-3.04284502968369,8.12583612167807,11.2470431462116,2,Domain 1,Tumor,1
cell_1426,48.12207835,56.113541526,B_Cells,SimSpace,6.55674103580613,-2.06896156494304,5.00441526138754,-11.7858586177044,6,Domain 2,Stromal,0
cell_1427,48.05720251,65.574150866,Stromal,SimSpace,7.70073803017177,-0.350971113812696,0.135166275143342,-14.9359965190106,6,Domain 2,Stromal,0
cell_1428,48.19571346,69.039013385,Stromal,SimSpace,10.7587048204744,0.0503161523104087,0.0758357521292738,-16.171415792387,6,Domain 2,Stromal,0
cell_1429,47.77810449,72.072200473,Stromal,SimSpace,8.98304233186936,-0.807262448694083,-0.877955074593706,-15.5329203471356,6,Domain 2,Stromal,0
cell_1430,47.89049638,79.03039504,Stromal,SimSpace,9.23597951236502,-1.5315521887913,-0.293654096484465,-16.0251307353191,6,Domain 2,Stromal,0
cell_1431,48.13319343,81.955545454,Stromal,SimSpace,7.53846557619214,-1.93133121947016,-0.417564940810484,-15.229448781889,6,Domain 2,Stromal,0
cell_1432,47.49308911,94.260954637,Invasive_Tumor,SimSpace,0.887545778050379,-2.18509183686326,7.86155484878989,-1.32969909308482,3,Domain 1,Tumor,1
cell_1433,47.7249631,96.98135246,T_Cell_&_Tumor_Hybrid,SimSpace,4.38846696133077,-2.21059623683833,7.0888564463851,-11.0142750605755,6,Domain 2,Stromal,1
cell_1434,49.10019845,2.972092413,Stromal,SimSpace,10.1076684178427,0.125059353319631,-1.60811532771615,-16.0654787882977,6,Domain 2,Stromal,0
cell_1435,48.90395019,15.951812651,Invasive_Tumor,SimSpace,-1.41295060230136,-2.7589504573272,10.1157996531722,-1.33477284906436,3,Domain 1,Tumor,1
cell_1436,49.18722151,18.206821076,Invasive_Tumor,SimSpace,-2.83523417427182,-3.01581906904387,11.3774478312728,5.46581555755805,9,Domain 1,Tumor,1
cell_1437,49.16183606,20.941508075,Invasive_Tumor,SimSpace,-2.40241328036938,-3.18371563436453,11.9226949092147,5.60286141784858,9,Domain 1,Tumor,1
cell_1438,48.76038142,21.833130126,CD8+_T_Cells,SimSpace,-1.21656304018908,-2.92945092083078,8.57696412765952,-11.632901655119,6,Domain 2,Stromal,1
cell_1439,49.08133142,23.978248292,Invasive_Tumor,SimSpace,-3.26198383218175,-3.40197152328125,9.83585427963706,5.9759764805622,9,Domain 1,Tumor,1
cell_1440,49.24033957,25.341542752,Invasive_Tumor,SimSpace,-3.80881729167031,-3.48852467113206,8.70271371567221,7.62486030014228,2,Domain 1,Tumor,1
cell_1441,49.02948688,30.939862777,Prolif_Invasive_Tumor,SimSpace,0.953655682389979,-2.71147707537157,8.89856313431235,-4.10559080688287,3,Domain 1,Tumor,1
cell_1442,48.80450702,32.123154327,Invasive_Tumor,SimSpace,0.860831964890384,-2.96879193017254,8.70836805069418,-3.86013315765191,3,Domain 1,Tumor,1
cell_1443,49.17587799,37.944377852,Invasive_Tumor,SimSpace,-3.62324054529694,-1.5307307449342,10.2718284007308,5.81603051574897,9,Domain 1,Tumor,1
cell_1444,49.12708491,38.944650637,Prolif_Invasive_Tumor,SimSpace,-3.87438184905741,-1.80245434132051,3.95263837540122,8.42407561691474,4,Domain 1,Tumor,1
cell_1445,49.10852216,43.887831723,Invasive_Tumor,SimSpace,-4.46412279046544,-1.90678651268114,5.37041019165488,12.3554959431477,2,Domain 1,Tumor,1
cell_1446,49.14318778,45.756739188,Invasive_Tumor,SimSpace,-5.0183666892533,-2.52973297607739,7.44929097855063,13.7807564869709,2,Domain 1,Tumor,1
cell_1447,48.40107743,46.978043674,Invasive_Tumor,SimSpace,-4.42556518766595,-3.08977437987494,11.9032266017196,7.59579039962958,9,Domain 1,Tumor,1
cell_1448,49.17618751,54.143691151,Stromal,SimSpace,8.07956371693241,-1.33397429504115,1.40583227837058,-15.4911732539349,6,Domain 2,Stromal,0
cell_1449,49.36162636,80.315238593,Stromal,SimSpace,8.37318941762983,-2.21021874796027,-0.495679360986037,-15.3358235224896,6,Domain 2,Stromal,0
cell_1450,49.08732769,92.088373899,Invasive_Tumor,SimSpace,-2.6154143468264,-2.12377623270697,8.05323957169028,3.81380511673163,3,Domain 1,Tumor,1
cell_1451,49.0385458,92.836627784,Invasive_Tumor,SimSpace,-2.03417295744309,-2.42764145660391,7.61423181259604,2.99507571609687,3,Domain 1,Tumor,1
cell_1452,49.13928773,95.14910092,Macrophages_1,SimSpace,2.85565870528105,-1.62781413897698,5.86046098434897,-13.736809240263,6,Domain 2,Stromal,1
cell_1453,49.06764509,96.090805835,Invasive_Tumor,SimSpace,2.10366037485335,-2.30239346348908,6.65008567535849,-0.59114997236062,3,Domain 1,Tumor,1
cell_1454,49.13035625,97.279672638,Macrophages_1,SimSpace,4.5196008019211,-1.80489303943852,5.8734719630477,-13.8788933619671,6,Domain 2,Stromal,1
cell_1455,49.0002942,99.417922091,Invasive_Tumor,SimSpace,1.60974680826931,-2.88723000702842,6.72674106323691,-0.384446309488306,9,Domain 1,Tumor,1
cell_1456,49.84665903,3.242921551,B_Cells,SimSpace,10.9212569652547,0.535243246521139,-4.93624902999429,-15.8322558268719,6,Domain 2,Stromal,0
cell_1457,49.79913546,4.92144836,Stromal,SimSpace,9.97392236736833,0.502285821574508,-1.63849641120462,-16.0648636683636,6,Domain 2,Stromal,0
cell_1458,49.80036165,7.968154091,Stromal,SimSpace,10.6458964662271,-0.0510401225173391,-1.51806772983102,-16.2549166545086,6,Domain 2,Stromal,0
cell_1459,49.72539149,13.231588106,Endothelial,SimSpace,5.74352731076328,-1.79504003499601,7.87852643692465,-20.5866799220257,7,Domain 3,Tumor,1
cell_1460,49.7864516,14.898461373,Invasive_Tumor,SimSpace,0.63004286295022,-2.84578713820576,9.19319795334311,-3.73948167411614,3,Domain 1,Tumor,1
cell_1461,50.35225323,18.971903307,Invasive_Tumor,SimSpace,-2.43205370375239,-3.37099283168229,12.0610959407088,5.98353768737983,9,Domain 1,Tumor,1
cell_1462,50.15081913,24.126868048,Invasive_Tumor,SimSpace,-3.11830191392971,-3.34925706229831,9.62767957413168,6.34092379959296,9,Domain 1,Tumor,1
cell_1463,49.87499452,30.214121211,Invasive_Tumor,SimSpace,1.5662140350477,-2.57047725630341,8.9206721659896,-4.03426121322442,3,Domain 1,Tumor,1
cell_1464,49.92192146,31.044582154,Endothelial,SimSpace,3.98952678568706,-2.09117222491198,7.2048232432601,-19.7592301234417,7,Domain 3,Tumor,1
cell_1465,50.02251151,31.421496036,Invasive_Tumor,SimSpace,1.43148354159223,-3.0137641568955,8.64879583084555,-4.03462623206902,3,Domain 1,Tumor,1
cell_1466,49.86889099,33.067873193,Invasive_Tumor,SimSpace,0.739172383700909,-2.80354919220816,8.09207986557456,-2.56508039085198,3,Domain 1,Tumor,1
cell_1467,50.01350337,36.937590161,Invasive_Tumor,SimSpace,-2.89460351543461,-1.20857118944225,11.2298409816024,9.79408408554267,4,Domain 1,Tumor,1
cell_1468,50.15552083,38.804815801,Invasive_Tumor,SimSpace,-4.01722392262282,-1.85233941790354,5.96354459488364,10.9469638005085,4,Domain 1,Tumor,1
cell_1469,49.99285145,44.004826033,Prolif_Invasive_Tumor,SimSpace,-4.43636254182878,-0.998981954065197,2.27596067154379,8.89821387680244,4,Domain 1,Tumor,1
cell_1470,50.06720315,45.22409283,Invasive_Tumor,SimSpace,-4.59530164310106,-1.80678023254093,6.13201783859702,12.9671492710895,2,Domain 1,Tumor,1
cell_1471,50.17729831,47.774024554,Invasive_Tumor,SimSpace,-4.51219907086962,-2.63368540371222,10.4378297206161,10.0799002781696,2,Domain 1,Tumor,1
cell_1472,49.94557365,59.317984598,Stromal,SimSpace,9.96386013913293,-1.90798270634525,0.17516349518271,-15.7596974238567,6,Domain 2,Stromal,0
cell_1473,50.05695812,62.19574602,Macrophages_1,SimSpace,9.03054453152767,-1.22477354539214,2.26584767067404,-15.310895429533,6,Domain 2,Stromal,0
cell_1474,49.93812448,63.186832725,Stromal,SimSpace,9.21290313822062,-0.346709718582416,-0.105585706591887,-15.8453802928143,6,Domain 2,Stromal,0
cell_1475,49.99429423,69.837058281,CD8+_T_Cells,SimSpace,11.4844937940865,-0.403143359377923,-2.10821081435708,-12.8310208186321,6,Domain 2,Stromal,0
cell_1476,49.93505395,70.949751511,Stromal,SimSpace,11.1993636879723,-0.588158976851347,-0.168998968959136,-16.1271271571331,6,Domain 2,Stromal,0
cell_1477,49.89422603,71.923433026,T_Cell_&_Tumor_Hybrid,SimSpace,9.66622772149285,-1.46565258788674,-2.12133516109018,-13.447840200346,6,Domain 2,Stromal,0
cell_1478,50.03474237,77.000068192,B_Cells,SimSpace,9.62260864967705,-1.35406268493224,-4.6583552483323,-15.379309163969,6,Domain 2,Stromal,0
cell_1479,50.11330906,77.98755904,Stromal,SimSpace,8.42232574619517,-1.90911889692386,-0.465200287461562,-15.0340771540814,6,Domain 2,Stromal,0
cell_1480,50.02926089,85.936530224,Prolif_Invasive_Tumor,SimSpace,0.2562708875968,-3.32904021980477,4.50247548782797,-0.36005489675332,3,Domain 1,Tumor,1
cell_1481,50.09974539,87.964414531,Invasive_Tumor,SimSpace,-2.17835797001189,-3.74008956845904,5.45041297638388,3.1535101071186,3,Domain 1,Tumor,1
cell_1482,49.85241364,95.957675937,Invasive_Tumor,SimSpace,1.15388198160165,-2.61240615007021,6.62474464142294,-0.50928996650506,3,Domain 1,Tumor,1
cell_1483,49.75925296,98.053496773,Invasive_Tumor,SimSpace,1.35914932960181,-2.64781040568146,6.74408124649497,-0.470486031454096,3,Domain 1,Tumor,1
cell_1484,51.0834087,0.669636593,Macrophages_1,SimSpace,9.16058456719139,-0.0697195912744228,2.85971187317343,-15.5202917918377,6,Domain 2,Stromal,0
cell_1485,51.13757628,6.09731567,B_Cells,SimSpace,9.70346206864042,0.605123827938637,-4.4850633267167,-15.5264239176922,6,Domain 2,Stromal,0
cell_1486,51.00997145,8.33945434,B_Cells,SimSpace,10.4467355827507,-0.356457295921642,-5.04971863067178,-15.8088612422161,6,Domain 2,Stromal,0
cell_1487,51.26960716,9.214500169,Stromal,SimSpace,9.12464869703596,-1.25906546217407,-1.3880041066411,-16.0084538325481,6,Domain 2,Stromal,0
cell_1488,51.18153976,11.810820555,Stromal,SimSpace,7.02984372339304,-1.62655987556736,1.98545192444296,-15.0257830485516,6,Domain 2,Stromal,0
cell_1489,51.53611417,14.208921605,Invasive_Tumor,SimSpace,1.2849803934233,-2.23455289147588,9.13144563400717,-3.99964617339898,3,Domain 1,Tumor,1
cell_1490,50.9598383,15.457925571,Endothelial,SimSpace,2.99009444893626,-2.15938491609286,8.7608067866561,-20.2760834559612,7,Domain 3,Tumor,1
cell_1491,50.80023024,18.951488748,Invasive_Tumor,SimSpace,-2.47601492398321,-3.06456022629344,12.0253379222152,5.86618758590888,9,Domain 1,Tumor,1
cell_1492,50.85197264,21.144206384,Prolif_Invasive_Tumor,SimSpace,-2.73996338944354,-3.55729159213262,3.84327481949301,7.91602469833564,4,Domain 1,Tumor,1
cell_1493,50.88690044,22.45987608,Invasive_Tumor,SimSpace,-2.21444103980492,-3.23091786781723,6.12509368622275,7.78109599502753,4,Domain 1,Tumor,1
cell_1494,51.09520628,24.206059126,Invasive_Tumor,SimSpace,-2.44421038723455,-3.76272702718891,4.24556707107993,9.33850337417792,4,Domain 1,Tumor,1
cell_1495,50.56838629,27.31014412,Invasive_Tumor,SimSpace,-1.00848112861371,-3.62452830716423,9.99380086624594,-2.22159354535867,3,Domain 1,Tumor,1
cell_1496,51.2637102,27.780954889,Invasive_Tumor,SimSpace,0.575173329013248,-3.66817300689456,9.52955983841391,-3.72561787215997,3,Domain 1,Tumor,1
cell_1497,50.95214068,33.047124172,Macrophages_1,SimSpace,2.80905390848301,-2.14326239962433,5.82492088043662,-14.001834379118,6,Domain 2,Stromal,1
cell_1498,50.95064129,34.078393821,Invasive_Tumor,SimSpace,-0.390487027041628,-2.04777554346478,7.38455747330161,-0.304544912260065,3,Domain 1,Tumor,1
cell_1499,50.78413137,42.112857426,Prolif_Invasive_Tumor,SimSpace,-4.35151815935664,-1.89723631934166,2.31951926910849,8.76647235305976,4,Domain 1,Tumor,1
cell_1500,50.97715489,43.157901509,Invasive_Tumor,SimSpace,-4.4716638516311,-1.53270275195949,5.19322990143271,12.0770239964313,4,Domain 1,Tumor,1
cell_1501,51.00264795,45.031235011,Invasive_Tumor,SimSpace,-4.57229311927915,-1.66999103943317,5.25776933395835,11.6696829930134,4,Domain 1,Tumor,1
cell_1502,50.97561101,45.737521173,Invasive_Tumor,SimSpace,-4.6100131060077,-1.97674236172595,5.74649738037558,11.6318535939045,2,Domain 1,Tumor,1
cell_1503,51.06781185,49.213254483,Invasive_Tumor,SimSpace,-1.40846496947562,-2.87771885247089,7.97853921616049,1.7418398991413,3,Domain 1,Tumor,1
cell_1504,50.88207359,58.075772066,Stromal,SimSpace,10.1746812161958,-1.67117753599145,0.160365330815034,-15.5536742076092,6,Domain 2,Stromal,0
cell_1505,50.82083685,67.764276674,Stromal,SimSpace,10.2134769358218,-0.707873248725203,-1.86715341842203,-13.4914164408856,6,Domain 2,Stromal,0
cell_1506,51.10966563,70.151799164,CD8+_T_Cells,SimSpace,10.8319501730331,-1.17965572078234,-2.10663927829294,-12.3628077372723,6,Domain 2,Stromal,0
cell_1507,51.01973349,87.110596002,Invasive_Tumor,SimSpace,-1.49853959659074,-3.19121348691383,10.8438336726424,3.89975167663764,9,Domain 1,Tumor,1
cell_1508,51.03943621,88.10740691,Invasive_Tumor,SimSpace,-2.60734430218464,-3.20437304816942,11.1613805171248,4.92593957336616,9,Domain 1,Tumor,1
cell_1509,51.21180545,88.942632958,Prolif_Invasive_Tumor,SimSpace,-3.31906086465864,-3.20282208884761,4.26948713028403,8.52454520614814,4,Domain 1,Tumor,1
cell_1510,50.79548712,90.326881129,Invasive_Tumor,SimSpace,-4.25653210569276,-3.18114581519643,8.66104100906821,8.89969302566718,2,Domain 1,Tumor,1
cell_1511,50.82895191,92.114245326,Invasive_Tumor,SimSpace,-4.19707764943208,-2.59271568067186,9.81263517105551,10.9211383000202,2,Domain 1,Tumor,1
cell_1512,51.25144393,92.842009188,Invasive_Tumor,SimSpace,-3.28501001808109,-2.13609180917831,11.016316163182,9.67399646194648,4,Domain 1,Tumor,1
cell_1513,50.70342333,93.691448412,Invasive_Tumor,SimSpace,-2.44148481892024,-2.59504190683465,7.30112813675376,3.24624635132026,3,Domain 1,Tumor,1
cell_1514,50.73811757,96.846533563,Invasive_Tumor,SimSpace,0.95657378294555,-2.91966344021009,6.70266698563071,-0.429862664621362,3,Domain 1,Tumor,1
cell_1515,52.16357237,5.526075341,B_Cells,SimSpace,10.4549124798183,0.0844151138145153,-4.9122798565629,-15.7540593012982,6,Domain 2,Stromal,0
cell_1516,52.04764004,6.947888031,Stromal,SimSpace,9.61110723116801,0.113874247749863,-1.47237349784402,-16.1176485881023,6,Domain 2,Stromal,0
cell_1517,52.02104643,10.02579141,Macrophages_1,SimSpace,9.12238662953548,-0.843207469229088,3.18363641464682,-15.398128972929,6,Domain 2,Stromal,0
cell_1518,51.98166812,17.758466713,T_Cell_&_Tumor_Hybrid,SimSpace,-0.219045380048152,-3.26536128560825,8.9359776850936,-10.6247734889202,6,Domain 2,Stromal,1
cell_1519,52.00625351,19.890911282,Invasive_Tumor,SimSpace,-3.23025205326767,-3.38605928863807,11.5321843501327,6.75164081009101,9,Domain 1,Tumor,1
cell_1520,51.98157758,22.31065653,Invasive_Tumor,SimSpace,-2.86074495892963,-3.65049782349198,10.3173196192977,6.23914386184882,9,Domain 1,Tumor,1
cell_1521,52.27108854,23.021458267,Invasive_Tumor,SimSpace,-2.96759308608143,-3.76200451089486,11.1208226557967,6.7246770993061,9,Domain 1,Tumor,1
cell_1522,51.92037037,29.307068709,Endothelial,SimSpace,4.75711785873248,-2.33901465062302,7.02802251541586,-20.2343735560589,7,Domain 3,Tumor,1
cell_1523,51.96772529,29.963009717,Endothelial,SimSpace,5.97018663917059,-1.90661774582803,7.54646085464926,-20.5020089015179,7,Domain 3,Tumor,1
cell_1524,52.35888976,33.964643457,Invasive_Tumor,SimSpace,-0.308029785947802,-2.41267883430219,7.08629916870566,-0.030591474454889,3,Domain 1,Tumor,1
cell_1525,52.00550194,39.560149191,Prolif_Invasive_Tumor,SimSpace,-3.90171156837385,-1.79941521631179,3.52908872330161,8.29582835586738,4,Domain 1,Tumor,1
cell_1526,52.44640328,48.145857749,Invasive_Tumor,SimSpace,-2.631990607899,-2.9184355763603,9.18093847000571,3.73616601379584,3,Domain 1,Tumor,1
cell_1527,51.97900406,54.220111648,Stromal,SimSpace,10.5506362315867,-0.600075227190393,0.0620921131369643,-16.3561472758465,6,Domain 2,Stromal,0
cell_1528,52.273483,54.931526391,Stromal,SimSpace,9.89540896356933,-1.23980863563559,-0.739935142159743,-15.2851796015911,6,Domain 2,Stromal,0
cell_1529,51.66893119,57.937939155,Stromal,SimSpace,11.5655382415394,-1.03544953731792,2.24449084961386,-15.4145302638226,6,Domain 2,Stromal,0
cell_1530,52.03072889,62.162607276,Stromal,SimSpace,8.36546735398315,-1.40726848525136,-0.763270554304404,-14.606061445158,6,Domain 2,Stromal,0
cell_1531,51.68310529,71.852740582,Stromal,SimSpace,10.1847107974648,-1.57130086510041,-0.17387260234384,-16.1529822215252,6,Domain 2,Stromal,0
cell_1532,52.16889086,75.843535136,Stromal,SimSpace,9.06132153802254,-2.14881744946627,-0.100792897105498,-15.4530491694622,6,Domain 2,Stromal,0
cell_1533,51.75742644,77.063419633,Stromal,SimSpace,9.67107173436057,-1.93099416081232,0.312973606228548,-16.6200976237469,6,Domain 2,Stromal,0
cell_1534,52.05675391,78.87874973,Stromal,SimSpace,8.03875905429574,-2.77007033771682,-0.325819445014281,-15.1845764979534,6,Domain 2,Stromal,0
cell_1535,51.94356082,91.122211577,Prolif_Invasive_Tumor,SimSpace,-4.03701091502053,-2.20090646027034,5.9246890422103,9.48257304580878,4,Domain 1,Tumor,1
cell_1536,51.76835936,91.815938097,Invasive_Tumor,SimSpace,-4.36579102552511,-2.35192589784976,9.44316743576499,10.3181128636188,2,Domain 1,Tumor,1
cell_1537,51.676128,93.301901784,Invasive_Tumor,SimSpace,-3.06958955694774,-2.34756876162355,6.40131257736655,6.17395211609077,3,Domain 1,Tumor,1
cell_1538,51.89779191,97.131292737,Macrophages_1,SimSpace,2.4975189871347,-2.89181900722038,5.63216184341879,-12.5134320124798,6,Domain 2,Stromal,1
cell_1539,52.34812589,98.013170236,T_Cell_&_Tumor_Hybrid,SimSpace,2.84591939068823,-2.80790177289772,7.23060964310141,-10.8881611689739,6,Domain 2,Stromal,1
cell_1540,51.94130299,98.825273873,Invasive_Tumor,SimSpace,1.77059491035792,-2.92499830737866,6.75261567795249,-0.30011187640954,3,Domain 1,Tumor,1
cell_1541,53.18344431,7.78844922,Stromal,SimSpace,10.5701415263688,-0.363093210060759,-0.363121343016905,-16.6245884761028,6,Domain 2,Stromal,0
cell_1542,52.98859143,16.820552594,Invasive_Tumor,SimSpace,-1.02870283018265,-3.35472568081516,11.1793343898055,2.87165786178779,9,Domain 1,Tumor,1
cell_1543,53.17534535,20.71355934,Invasive_Tumor,SimSpace,-3.26662371885203,-3.05588948641333,12.0449139949081,7.34826518448066,9,Domain 1,Tumor,1
cell_1544,52.63461772,24.268086064,Invasive_Tumor,SimSpace,-2.93419044791461,-3.97238986909367,10.0146767970321,6.06319476516913,9,Domain 1,Tumor,1
cell_1545,52.91936234,36.068414968,Prolif_Invasive_Tumor,SimSpace,-3.40955761777489,-2.33228268923121,5.80834315979453,6.23386098297309,4,Domain 1,Tumor,1
cell_1546,53.1898811,45.214125666,Invasive_Tumor,SimSpace,-4.25026520440556,-2.07446369862361,5.48545812332602,12.1505885258503,2,Domain 1,Tumor,1
cell_1547,52.96734901,47.347813007,Invasive_Tumor,SimSpace,-3.1783123763084,-2.37123001908982,3.73105405533286,9.40600730331611,4,Domain 1,Tumor,1
cell_1548,52.98270894,48.261321205,Invasive_Tumor,SimSpace,-2.04629485733828,-3.24189686016215,8.98168920242758,3.55527211578559,3,Domain 1,Tumor,1
cell_1549,52.91390762,52.089923358,T_Cell_&_Tumor_Hybrid,SimSpace,8.23385484316291,-1.47052252702485,-1.9413598898652,-13.5896763667278,6,Domain 2,Stromal,0
cell_1550,53.22987588,52.917789911,B_Cells,SimSpace,9.52731795780737,-1.06737210528873,-5.14818788802652,-15.6715903147869,6,Domain 2,Stromal,0
cell_1551,53.05950287,55.149859911,Stromal,SimSpace,10.8589645144426,-1.07150111825873,0.150249111294465,-16.396347509306,6,Domain 2,Stromal,0
cell_1552,53.00880446,58.042227554,CD8+_T_Cells,SimSpace,11.1200771174558,-1.45834935240693,-2.22010637557535,-12.5874428614788,6,Domain 2,Stromal,0
cell_1553,53.12861091,63.947869772,Stromal,SimSpace,8.05088698052986,-0.649263444840787,-0.333508086562438,-15.6864132746868,6,Domain 2,Stromal,0
cell_1554,53.11764499,74.896960326,Stromal,SimSpace,10.1707909047732,-2.17179483314132,-0.197300327182097,-15.4195628031902,6,Domain 2,Stromal,0
cell_1555,53.04251741,78.215843355,Stromal,SimSpace,10.1829339925706,-2.12801706377823,0.589218842625337,-15.5779938563519,6,Domain 2,Stromal,0
cell_1556,53.3094063,86.295492557,Invasive_Tumor,SimSpace,1.35908855584073,-2.24448114691453,4.92831062042685,-2.93123029319573,9,Domain 1,Tumor,1
cell_1557,52.98794249,86.944978255,Invasive_Tumor,SimSpace,1.16727882205683,-2.30197302325041,12.7334840174911,2.34886433036994,9,Domain 1,Tumor,1
cell_1558,53.05561621,87.912598457,Invasive_Tumor,SimSpace,-0.0570226894632539,-3.0006825485556,4.76493524277182,-3.07934521285821,9,Domain 1,Tumor,1
cell_1559,52.87140949,93.139633948,Invasive_Tumor,SimSpace,-3.01958095929505,-2.36060926861732,6.6584217425582,7.58096934707831,4,Domain 1,Tumor,1
cell_1560,54.03002305,1.87296472,B_Cells,SimSpace,10.0510673023805,-0.18291283209842,-3.68820859229593,-15.222799764555,6,Domain 2,Stromal,0
cell_1561,54.3175523,9.120735337,Stromal,SimSpace,9.05729862780432,-1.14841223347415,-0.928368463352603,-14.7686877116375,6,Domain 2,Stromal,0
cell_1562,53.87134848,12.347385921,T_Cell_&_Tumor_Hybrid,SimSpace,2.54577929344289,-1.18518337900126,7.35766290390463,-11.2897887095623,6,Domain 2,Stromal,0
cell_1563,53.77328143,12.916433113,Invasive_Tumor,SimSpace,0.471583009067168,-1.46054208645133,4.83459829056235,-2.09120999423791,3,Domain 1,Tumor,1
cell_1564,54.19935193,15.004902646,Invasive_Tumor,SimSpace,-2.2017044759616,-2.28410608838458,11.2455661174056,3.85687257202338,9,Domain 1,Tumor,1
cell_1565,53.97024677,16.397938616,Invasive_Tumor,SimSpace,-2.36344075643286,-2.96019142532225,11.4009082194564,3.80465032013129,9,Domain 1,Tumor,1
cell_1566,54.01920084,18.925366337,Invasive_Tumor,SimSpace,-3.48573547627935,-3.29469052504497,12.0695769664046,6.7594123020954,9,Domain 1,Tumor,1
cell_1567,53.99097734,23.028207346,T_Cell_&_Tumor_Hybrid,SimSpace,-1.85103282812916,-3.58098940375985,8.5609834071395,-10.8758120402508,6,Domain 2,Stromal,1
cell_1568,54.01582434,25.811636905,Invasive_Tumor,SimSpace,-1.44737084678208,-3.76189724006446,9.94321988785239,0.20040573032569,3,Domain 1,Tumor,1
cell_1569,54.17010614,28.859433081,Endothelial,SimSpace,3.53363781099837,-2.68050775525159,7.75717519485922,-20.3642239436321,7,Domain 3,Tumor,1
cell_1570,53.83217516,31.724232606,Macrophages_1,SimSpace,2.77792868417006,-2.88497327705044,5.91371082031699,-13.8549561366253,6,Domain 2,Stromal,1
cell_1571,53.79764518,35.585049917,Prolif_Invasive_Tumor,SimSpace,-3.43382295241768,-2.45624910633811,2.91790388786765,9.25302173050117,4,Domain 1,Tumor,1
cell_1572,54.01699363,45.114350398,Prolif_Invasive_Tumor,SimSpace,-3.61947657177384,-2.40055978787485,3.07063149178,7.79714251907538,4,Domain 1,Tumor,1
cell_1573,53.67871206,46.99082489,Invasive_Tumor,SimSpace,-3.51859826796439,-2.61409441280335,7.36873792374106,6.34308625610541,9,Domain 1,Tumor,1
cell_1574,53.72538929,50.788587142,Stromal,SimSpace,7.85070849208879,-1.32670517441912,4.58502601349326,-18.3061928614788,6,Domain 2,Stromal,0
cell_1575,54.37333663,61.635061387,CD8+_T_Cells,SimSpace,10.2661310643105,-0.895283604366998,-1.99300409591226,-12.8079953059368,6,Domain 2,Stromal,0
cell_1576,54.15149367,67.048347658,Stromal,SimSpace,9.3473460452982,-0.97047999890046,-2.01269604003457,-13.595768438261,6,Domain 2,Stromal,0
cell_1577,53.99798871,71.970969636,CD8+_T_Cells,SimSpace,9.48555605809415,-2.30975519096832,-1.93259836471109,-12.2842354640179,6,Domain 2,Stromal,0
cell_1578,54.24760139,76.100398533,Stromal,SimSpace,8.00710989040127,-2.53711486504642,-0.363656950354857,-15.2688212260418,6,Domain 2,Stromal,0
cell_1579,53.79188015,81.138465768,CD8+_T_Cells,SimSpace,8.1438216320024,-3.1800210123948,-1.98868681228189,-12.9097199305706,6,Domain 2,Stromal,0
cell_1580,53.93687938,85.202455009,T_Cell_&_Tumor_Hybrid,SimSpace,4.38731311359168,-1.43442155313127,6.30516837799521,-11.1372599467449,6,Domain 2,Stromal,0
cell_1581,54.12469072,85.991564577,Invasive_Tumor,SimSpace,2.35366669371411,-2.04273116449136,5.02435468399497,-2.86842523662377,9,Domain 1,Tumor,1
cell_1582,54.17813434,87.124402093,CD8+_T_Cells,SimSpace,4.63426713580973,-1.52198864041831,8.53914235794516,-11.7281842097454,6,Domain 2,Stromal,1
cell_1583,54.10258337,93.918492774,Invasive_Tumor,SimSpace,-1.4352012265946,-3.09750474792207,7.10308431351157,0.449844850618353,3,Domain 1,Tumor,1
cell_1584,53.49175224,95.82971072,Endothelial,SimSpace,3.54743255222489,-2.84689825643969,8.28557084763022,-19.6213536128216,7,Domain 3,Tumor,1
cell_1585,54.80638358,1.932363346,Stromal,SimSpace,9.82214900123184,-0.817596842615817,-1.2247459117177,-16.0256161555462,6,Domain 2,Stromal,0
cell_1586,55.09541362,3.153793548,Macrophages_1,SimSpace,9.70386546739962,-0.841672547825685,2.83126066887351,-15.3341688975506,6,Domain 2,Stromal,0
cell_1587,54.9288097,6.121299534,Stromal,SimSpace,9.40592500718378,-1.25325722331169,-0.234493983149809,-16.3806424006634,6,Domain 2,Stromal,0
cell_1588,55.50804632,6.997477372,Macrophages_1,SimSpace,9.27547181411141,-1.68625921309778,3.33847926819296,-15.3069100245648,6,Domain 2,Stromal,0
cell_1589,55.18531166,15.064485545,Invasive_Tumor,SimSpace,-2.80265031186082,-1.512197381923,3.26135514938803,8.27306319626044,4,Domain 1,Tumor,1
